,period,stateid,stateDescription,sectorid,sectorName,customers,sales,customers-units,sales-units
272,2001-11,NJ,New Jersey,RES,residential,,1722.44503,number of customers,million kilowatt hours
273,2001-10,NJ,New Jersey,RES,residential,,1798.71818,number of customers,million kilowatt hours
274,2001-09,NJ,New Jersey,RES,residential,,2244.33591,number of customers,million kilowatt hours
275,2001-08,NJ,New Jersey,RES,residential,,3055.1837,number of customers,million kilowatt hours
276,2001-07,NJ,New Jersey,RES,residential,,2678.53152,number of customers,million kilowatt hours
277,2001-06,NJ,New Jersey,RES,residential,,2292.85125,number of customers,million kilowatt hours
278,2001-05,NJ,New Jersey,RES,residential,,1677.70854,number of customers,million kilowatt hours
279,2001-04,NJ,New Jersey,RES,residential,,1739.08206,number of customers,million kilowatt hours
280,2001-03,NJ,New Jersey,RES,residential,,1968.49312,number of customers,million kilowatt hours
281,2001-02,NJ,New Jersey,RES,residential,,2014.65228,number of customers,million kilowatt hours
282,2001-01,NJ,New Jersey,RES,residential,,2337.54938,number of customers,million kilowatt hours
